State,SGCN,Funds
Alabama,396,764289
Alaska,473,2486328
American_Samoa,65,124315
Arizona,564,1251735
Arkansas,445,577051
California,1198,2486328
Colorado,383,1058628
Connecticut,651,497265
Delaware,723,497265
District_of_Columbia,231,248632
Florida,1330,2267062
Georgia,725,1314228
Guam,98,124315
Hawaii,1302,497265
Idaho,270,591725
Illinois,557,1629587
Indiana,231,862951
Iowa,451,606526
Kansas,327,719478
Kentucky,302,660456
Louisiana,725,717705
Maine,407,497265
Maryland,697,656906
Massachusetts,598,726658
Michigan,440,1333540
Minnesota,402,986443
Mississippi,317,554328
Missouri,820,982845
Montana,154,856272
North_Mariana,64,124315
Nebraska,849,586923
Nevada,280,848401
New Hampshire,188,497265
New Jersey,691,958920
New Mexico,321,837785
New York,544,2276807
North Carolina,579,1266286
North Dakota,123,497267
Ohio,593,1417374
Oklahoma,324,749979
Oregon,333,897317
Pennsylvania,760,1559620
Puerto_Rico,330,248632
Rhode Island,540,497265
South Carolina,935,642752
South Dakota,108,497265
Tennessee,1426,879080
Texas,1398,2486328
Utah,210,723561
Vermont,1066,497265
Virgin_Islands,221,124315
Virginia,976,1044136
Washington,282,1051497
West Virginia,1195,497265
Wisconsin,546,881835
Wyoming,256,559722
